"วัคซีน","รวม","ปี พ.ศ. 2563","ปี พ.ศ. 2564"
"ตค.","พย.","ธค.","มค.","กพ.","มีค.","เมย.","พค.","มิย.","กค.","สค.","กย."
"011, บีซีจีเอส (BCGs)","15,041","206","106","203","85","233","29","12","30","37","1,998","2,913","9,189"
"021, ดีทีเอส1 (dTs1)","53,859","18,874","8,195","6,425","3,504","4,616","4,659","1,439","971","1,362","914","1,551","1,349"
"022, ดีทีเอส 2 (dTs2)","11,715","2,639","1,252","2,155","1,194","1,004","838","382","394","581","438","399","439"
"072, หัด คางทูม หัดเยอรมัน (MMRs)","27,813","7,839","3,964","3,196","2,506","2,400","2,365","1,282","773","919","871","821","877"
"075, หัด หัดเยอรมัน เอส (MRs)","2,314","863","311","178","158","238","326","71","20","35","33","34","47"
"086, โอพีวีเอส 1 (OPVs1)","19,665","8,629","3,274","1,767","895","1,398","1,102","106","28","88","1,969","193","216"
"087, โอพีวีเอส2 (OPVs2)","1,636","531","225","300","121","153","99","20","24","14","45","22","82"
