"วัคซีน","รวม","ปี พ.ศ. 2564","ปี พ.ศ. 2565"
"ตค.","พย.","ธค.","มค.","กพ.","มีค.","เมย.","พค.","มิย.","กค.","สค.","กย."
"053, ไข้สมองอักเสบเจอี 3 (JE3)","3,126","402","437","462","380","372","408","416","249","0","0","0","0"
"073, หัด คางทูม หัดเยอรมัน (MMR2)","292,735","48,082","46,601","45,483","36,664","31,468","31,124","27,033","25,985","293","0","2","0"
"J12, เจอีเชื้อเป็น2 (JE  : Lived attenuated )","201,460","26,409","25,514","26,207","26,742","25,165","25,572","23,199","22,452","200","0","0","0"
