"วัคซีน","รวม","ปี พ.ศ. 2561","ปี พ.ศ. 2562"
"ตค.","พย.","ธค.","มค.","กพ.","มีค.","เมย.","พค.","มิย.","กค.","สค.","กย."
"061, หัด คางทูม หัดเยอรมัน (MEASLES/ MMR)","45,144","7,687","9,627","3,731","3,545","2,747","2,711","2,129","2,433","2,316","2,466","2,854","2,898"
"073, หัด คางทูม หัดเยอรมัน (MMR2)","443,582","40,501","47,506","36,819","34,976","37,575","38,619","33,569","37,825","35,412","35,814","33,742","31,224"
"074, หัด หัดเยอรมัน ซี
 (MRC)","11,536","1,092","3,078","2,692","2,086","1,471","480","73","72","63","136","40","253"
"076, หัด คางทูม หัดเยอรมัน ซี (MMRC)","21,161","2,344","10,409","4,067","1,361","1,451","158","42","44","156","66","184","879"
"089, โอพีวีซี  (OPVC)","153,216","53","42","99","35","16","22","19","14","129","41,025","74,225","37,537"
"106, ดีที  เข็ม 1 (dT1)","16,999","1,036","1,978","1,277","966","919","546","335","348","824","1,612","2,450","4,708"
