"วัคซีน","รวม","ปี พ.ศ. 2562","ปี พ.ศ. 2563"
"ตค.","พย.","ธค.","มค.","กพ.","มีค.","เมย.","พค.","มิย.","กค.","สค.","กย."
"053, ไข้สมองอักเสบเจอี 3 (JE3)","8,261","848","856","726","653","792","730","607","781","647","657","424","540"
"073, หัด คางทูม หัดเยอรมัน (MMR2)","444,374","36,282","43,792","37,943","37,609","40,598","39,869","33,423","40,601","37,226","35,037","33,332","28,662"
"J12, เจอีเชื้อเป็น2 (JE  : Lived attenuated )","406,815","33,917","36,176","33,759","33,262","36,461","36,285","31,651","37,864","35,288","33,060","31,533","27,559"
