"วัคซีน","รวม","ปี พ.ศ. 2561","ปี พ.ศ. 2562"
"ตค.","พย.","ธค.","มค.","กพ.","มีค.","เมย.","พค.","มิย.","กค.","สค.","กย."
"053, ไข้สมองอักเสบเจอี 3 (JE3)","12,334","1,364","1,314","1,249","1,152","1,105","1,067","942","924","835","758","827","797"
"073, หัด คางทูม หัดเยอรมัน (MMR2)","447,061","40,746","47,804","37,054","35,380","38,338","38,812","33,788","38,080","35,614","36,118","33,936","31,391"
"J12, เจอีเชื้อเป็น2 (JE  : Lived attenuated )","393,846","33,008","34,664","32,160","31,548","34,115","35,650","31,238","35,592","33,338","32,648","31,268","28,617"
