"วัคซีน","รวม","ปี พ.ศ. 2564","ปี พ.ศ. 2565"
"ตค.","พย.","ธค.","มค.","กพ.","มีค.","เมย.","พค.","มิย.","กค.","สค.","กย."
"011, บีซีจีเอส (BCGs)","494","51","37","70","61","168","94","3","10","0","0","0","0"
"021, ดีทีเอส1 (dTs1)","18,600","1,008","1,407","2,952","3,125","4,788","3,559","914","840","7","0","0","0"
"022, ดีทีเอส 2 (dTs2)","3,988","342","300","395","663","1,226","620","272","167","3","0","0","0"
"072, หัด คางทูม หัดเยอรมัน (MMRs)","8,904","811","985","1,264","1,334","2,068","1,519","611","304","8","0","0","0"
"075, หัด หัดเยอรมัน เอส (MRs)","1,087","298","102","321","87","139","82","35","23","0","0","0","0"
"086, โอพีวีเอส 1 (OPVs1)","7,721","138","453","496","1,408","3,011","1,579","495","141","0","0","0","0"
"087, โอพีวีเอส2 (OPVs2)","667","43","35","110","130","253","51","29","16","0","0","0","0"
