name|url
2. ประชากรจำแนกเพศ กลุ่มอายุรายปี|https://hdcservice.moph.go.th/hdc/reports/report.php?source=formated/pop_sex_age.php&cat_id=ac4eed1bddb23d6130746d62d2538fd0&id=710884bc8d16f755073cf194970b064a
3. ประชากรต่างด้าว จำแนกเพศ กลุ่มอายุรายปี|https://hdcservice.moph.go.th/hdc/reports/report.php?source=formated/pop_sex_age.php&cat_id=ac4eed1bddb23d6130746d62d2538fd0&id=71d636a9831a5265111e3216ae8b2d1e
6. ประชากรสัญชาติไทย PERSON เทียบกับฐานทะเบียนราษฏร์|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=ac4eed1bddb23d6130746d62d2538fd0&id=b79d2503134f09e13681be97491753cf
7. จำนวนประชากรแยกตามหน่วยบริการและชนิดการอยู่อาศัย TYPEAREA|https://hdcservice.moph.go.th/hdc/reports/report.php?source=pformated/format1.php&cat_id=ac4eed1bddb23d6130746d62d2538fd0&id=cb4e5a2990d327d0789a7301e4259b95
