"สังกัด","จำนวน"
"สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","473"
"สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน","16,028"
"สำนักงานส่งเสริมการศึกษานอกระบบและการศึกษาตามอัธยาศัย","1,402"
"สำนักงานคณะกรรมการการอาชีวศึกษา","38"
"สำนักงานคณะกรรมการการอุดมศึกษา","2"
"กรมส่งเสริมการปกครองท้องถิ่น","3,479"
"กรมกิจการเด็กและเยาวชน","1"
"สถาบันวิชาการป้องกันประเทศ กองบัญชาการกองทัพไทย","1"
"สำนักงานพระพุทธศาสนาแห่งชาติ","7"
"กองบัญชาการตำรวจตระเวนชายแดน","9"
"ไม่พบในระบบรหัส","21"
