"สังกัด","จำนวน"
"สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","144"
"สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน","157"
"สำนักงานคณะกรรมการการอาชีวศึกษา","5"
"สำนักงานคณะกรรมการการอุดมศึกษา","1"
"เมืองพัทยา","2"
"ไม่พบในระบบรหัส","1,375"
"กองทัพเรือ","5"
"กองทัพอากาศ","1"
"สำนักงานพระพุทธศาสนาแห่งชาติ","5"
"กองบัญชาการตำรวจตระเวนชายแดน","4"
